team	player	faction	list	objective	wrname	tcname	id	cost
Scotland Irn	Bryce Johnston	protectorate	Amon1	NA	High Allegiant Amon Ad-Raza - WB: +29	Amon1 (High Allegiant Amon Ad-Raza)	PW05	29
Scotland Irn	William Cruickshanks	convergence	Lucant	NA	Father Lucant, The Divinity Architect - WB: +28	Lucant (Father Lucant Divinity Architect)	COCW04	28
Scotland Irn	William Cruickshanks	convergence	Iron Mother Directrix	NA	Iron Mother Directrix & Exponent Servitors - WB: +27	Iron Mother Directrix (Iron Mother Directrix & Exponent Servitors)	COCW03	27
Scotland Irn	Michael Dick	circle	Tanith1	NA	Tanith the Feral Song - WB: +31	Tanith1 (Tanith the Feral Song)	OW15	31
Scotland Irn	Michael Dick	circle	Wurmwood1	NA	Wurmwood, Tree of Fate & Cassius the Oathkeeper - WB: +27	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
Scotland Irn	Alasdair Johnstone	cygnar	Haley1	NA	Captain Victoria Haley - WB: +28	Haley1 (Captain Victoria Haley)	YW01	28
Scotland Irn	Alasdair Johnstone	cygnar	Haley2	NA	Major Victoria Haley - WB: +25	Haley2 (Major Victoria Haley)	YW12	25
Scotland Irn	Fraser McFetridge	minions	Rask1 	NA	Rask - WB: +27	 Rask1 	IW10	27
Scotland Irn	Fraser McFetridge	minions	Maelok1	NA	Maelok the Dreadbound - WB: +28	 Maelok1 (Maelok the Dreadbound)	IW05	28
Slovenia	Jan Kleva Ivancic	khador	Butcher3	Arcane Wonder (Steamroller objective) [0]	(Butcher 3) Kommander Zoktavir, The Butcher Unleashed [+22]	 Butcher3 (Kommander Zoktavir The Butcher Unleashed)	KW16	22
Slovenia	Jan Kleva Ivancic	khador	Vladimir1	NA	(Vladimir 1) Vladimir Tzepesci, The Dark Prince [+28]	 Vladimir1 (Vladimir Tzepesci The Dark Prince)	KW03	28
Slovenia	Brin Blatnik	trollbloods	Madrak2	NA	(Madrak 2) Madrak Ironhide, World Ender [+28]	Madrak2 (Madrak Ironhide World Ender)	TW10	28
Slovenia	Brin Blatnik	trollbloods	Hoarluk2	NA	(Doomshaper 2) Hoarluk Doomshaper, Rage of Dhunia [+27]	Hoarluk2 (Hoarluk Doomshaper Rage of Dhunia)	TW11	27
Slovenia	Jean-Sebastien Imbeau	protectorate	Kreoss1	NA	(Kreoss 1) High Exemplar Kreoss [+29]	Kreoss1 (High Exemplar Kreoss)	PW01	29
Slovenia	Jean-Sebastien Imbeau	protectorate	Durst1	NA	(Durst 1) Anson Durst, Rock of the Faith [+28]	Durst1 (Anson Durst Rock of the Faith)	PW10	28
Slovenia	Tomaž Kovacic	cygnar	Kara Sloan1	NA	(Sloan 1) Captain Kara Sloan [+28]	Kara Sloan1 (Captain Kara Sloan)	YW08	28
Slovenia	Tomaž Kovacic	cygnar	Caine2	NA	(Caine 2) Captain Allister Caine [+27]	Caine2 (Captain Allister Caine)	YW14	27
Slovenia	Maksimiljan Galos	circle	Wurmwood1	NA	(Wurmwood 1) Wurmwood, Tree of Fate [+27]	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
Slovenia	Maksimiljan Galos	circle	Baldur1	NA	(Baldur 1) Baldur the Stonecleaver [+31]	Baldur1 (Baldur the Stonecleaver)	OW03	31
Spain Red	ENRIQUE LÓPEZ	circle	Wurmwood1	NA	Wurmwood, Tree of Fate & Cassius the Oathkeeper - WB: +27	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
Spain Red	ENRIQUE LÓPEZ	circle	Baldur2	NA	Baldur the Stonesoul - WB: +30	Baldur2 (Baldur the Stonesoul)	OW11	30
Spain Red	DORIAN GORDON	cygnar	Stryker2	NA	Lord Commander Stryker - WJ: +28	Stryker2 (Lord Commander Stryker)	YW13	28
Spain Red	DORIAN GORDON	cygnar	Haley1	NA	Captain Victoria Haley - WJ: +28	Haley1 (Captain Victoria Haley)	YW01	28
Spain Red	FERNANDO SEGADO	legion	Vayl2	NA	Vayl, Consul of Everblight - WB: +28	Vayl2 (Vayl Consul of Everblight)	EW12	28
Spain Red	FERNANDO SEGADO	legion	Lylyth3	NA	Lylyth, Reckoning of Everblight - WB: +29	Lylyth3 (Lylyth Reckoning of Everblight)	EW14	29
Spain Red	JAVIER SÁNCHEZ	khador	Vladimir1	NA	Vladimir Tzepesci, The Dark Prince - WJ: +28	 Vladimir1 (Vladimir Tzepesci The Dark Prince)	KW03	28
Spain Red	JAVIER SÁNCHEZ	khador	Irusk2	NA	Supreme Kommandant Irusk - WJ: +27	 Irusk2 (Supreme Kommandant Irusk)	KW14	27
Spain Red	RAÚL SEGADO	cryx	Deneghra1	NA	Warwitch Deneghra - WJ: +28	Deneghra1 (Warwitch Deneghra)	CW02	28
Spain Red	RAÚL SEGADO	cryx	Scaverous1	NA	Lord Exhumator Scaverous - WJ: +27	Scaverous1 (Lord Exhumator Scaverous)	CW09	27
Spain Rogue	Adrian Ramos	convergence	Lucant	Arcane Wonder - Steamroller Objective	Father Lucant, The Divinity Architect - WJ: +28	Lucant (Father Lucant Divinity Architect)	COCW04	28
Spain Rogue	Adrian Ramos	convergence	Iron Mother Directrix	NA	Iron Mother Directrix & Exponent Servitors - WJ: +27	Iron Mother Directrix (Iron Mother Directrix & Exponent Servitors)	COCW03	27
Spain Rogue	Manuel Tulla	circle	Wurmwood1	NA	Wurmwood, Tree of Fate & Cassius the Oathkeeper - WB: +27	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
Spain Rogue	Manuel Tulla	circle	Baldur2	NA	Baldur the Stonesoul - WB: +30	Baldur2 (Baldur the Stonesoul)	OW11	30
Spain Rogue	Josep Raúl López	cygnar	Caine2	NA	Captain Allister Caine - WJ: +27	Caine2 (Captain Allister Caine)	YW14	27
Spain Rogue	Josep Raúl López	cygnar	Haley2	NA	Major Victoria Haley - WJ: +25	Haley2 (Major Victoria Haley)	YW12	25
Spain Rogue	Marc Heredia	protectorate	Vindictus1	NA	Vice Scrutator Vindictus - WJ: +29	Vindictus1 (Vice Scrutator Vindictus)	PW08	29
Spain Rogue	Marc Heredia	protectorate	Severius2	NA	Hierarch Severius - WJ: +26	Severius2 (Hierarch Severius)	PW14	26
Spain Rogue	Jorge Cerdá	trollbloods	Madrak2	NA	Madrak Ironhide, World Ender - WB: +28	Madrak2 (Madrak Ironhide World Ender)	TW10	28
Spain Rogue	Jorge Cerdá	trollbloods	Gunnbjorn	NA	Captain Gunnbjorn - WB: +28	Gunnbjorn (Captain Gunnbjorn)	TW07	28
Sweden Nobel	Christoffer Wedding	retribution	Vyros1	NA	Dawnlord Vyros - WJ: +28	 Vyros1 (Dawnlord Vyros)	RW02	28
Sweden Nobel	Christoffer Wedding	retribution	Issyria1	NA	Issyria, Sibyl of Dawn - WJ: +29	 Issyria1 (Issyria Sibyl of Dawn)	RW07	29
Sweden Nobel	Andreas Holm	retribution	Ossyan1	NA	Lord Arcanist Ossyan - WJ: +28	 Ossyan1 (Lord Arcanist Ossyan)	RW06	28
Sweden Nobel	Andreas Holm	retribution	Kaelyssa1	NA	Kaelyssa, The Night's Whisper - WJ: +29	 Kaelyssa1 (Kaelyssa Night's Whisper)	RW04	29
Sweden Nobel	Filip Zingmark	circle	Wurmwood1	NA	Wurmwood, Tree of Fate & Cassius the Oathkeeper - WB: +27	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
Sweden Nobel	Filip Zingmark	circle	Tanith1	NA	Tanith the Feral Song - WB: +31	Tanith1 (Tanith the Feral Song)	OW15	31
Sweden Nobel	Olov Winroth	cygnar	Haley2	NA	Major Victoria Haley - WJ: +25	Haley2 (Major Victoria Haley)	YW12	25
Sweden Nobel	Olov Winroth	cygnar	Haley3	NA	Major Prime Victoria Haley - WJ: +25	Haley3 (Major Prime Victoria Haley)	YW16	25
Sweden Nobel	Johan Dyrlind	khador	Karchev1	NA	Karchev the Terrible - WJ: +30	 Karchev1 (Karchev the Terrible)	KW05	30
Sweden Nobel	Johan Dyrlind	khador	Vladimir1	NA	Vladimir Tzepesci, The Dark Prince - WJ: +28	 Vladimir1 (Vladimir Tzepesci The Dark Prince)	KW03	28
Sweden Bofors	Ola Segerberg	retribution	Issyria1	NA	Issyria, Sibyl of Dawn - WJ: +29	 Issyria1 (Issyria Sibyl of Dawn)	RW07	29
Sweden Bofors	Ola Segerberg	retribution	Vyros2	NA	Vyros, Incissar of the Dawnguard - WJ: +27	 Vyros2 (Vyros Incissar of the Dawnguard)	RW10	27
Sweden Bofors	Torbjörn Hansson	legion	Absylonia2	NA	Absylonia, Daughter of Everblight - WB: +28	Absylonia2 (Absylonia Daughter of Everblight)	EW13	28
Sweden Bofors	Torbjörn Hansson	legion	Vayl2	NA	Vayl, Consul of Everblight - WB: +28	Vayl2 (Vayl Consul of Everblight)	EW12	28
Sweden Bofors	Gustav Linderup	protectorate	Kreoss3	NA	Intercessor Kreoss - WJ: +28	Kreoss3 (Intercessor Kreoss)	PW17	28
Sweden Bofors	Gustav Linderup	protectorate	Harbinger1	NA	The Harbinger of Menoth - WJ: +24	Harbinger1 (The Harbinger of Menoth)	PW06	24
Sweden Bofors	Niklas Bergmark	trollbloods	Madrak2	NA	Madrak Ironhide, World Ender - WB: +28	Madrak2 (Madrak Ironhide World Ender)	TW10	28
Sweden Bofors	Niklas Bergmark	trollbloods	Borka1	NA	Borka Kegslayer - WB: +28	Borka1 (Borka Kegslayer & Pyg Keg Carrier)	TW05	28
Sweden Bofors	Fredrik Rabén	cygnar	Haley3	NA	Major Prime Victoria Haley - WJ: +25	Haley3 (Major Prime Victoria Haley)	YW16	25
Sweden Bofors	Fredrik Rabén	cygnar	Haley2	NA	Major Victoria Haley - WJ: +25	Haley2 (Major Victoria Haley)	YW12	25
Sweden Dynamite	Jocke Rapp	khador	Karchev1	Arcane Wonder - Steamroller Objective	Karchev the Terrible - WJ: +30	 Karchev1 (Karchev the Terrible)	KW05	30
Sweden Dynamite	Jocke Rapp	khador	Vladimir2	NA	Vladimir Tzepesci, The Dark Champion - WJ: +27	 Vladimir2 (Vladimir Tzepesci The Dark Champion)	KW13	27
Sweden Dynamite	Gustav Berggren	minions	Arkadius1	NA	Dr. Arkadius - WB: +32	 Arkadius1 (Dr. Arkadius)	IW04	32
Sweden Dynamite	Gustav Berggren	minions	Sturm & Drang1 	NA	Sturm & Drang - WB: +28	 Sturm & Drang1 	IW06	28
Sweden Dynamite	Rickard Nilsson	minions	Barnabas 1	NA	Bloody Barnabas - WB: +28	Barnabas 1 (Bloody Barnabas)	IW02	28
Sweden Dynamite	Rickard Nilsson	minions	Rask1 	NA	Rask - WB: +27	 Rask1 	IW10	27
Sweden Dynamite	Denis Korzun	trollbloods	Borka1	NA	Borka Kegslayer - WB: +28	Borka1 (Borka Kegslayer & Pyg Keg Carrier)	TW05	28
Sweden Dynamite	Denis Korzun	trollbloods	Madrak2	NA	Madrak Ironhide, World Ender - WB: +28	Madrak2 (Madrak Ironhide World Ender)	TW10	28
Sweden Dynamite	Stefan Benediktsson	cryx	Witch Coven	NA	The Witch Coven of Garlghast - WJ: +26	Witch Coven (The Witch Coven of Garlghast & Egregore)	CW06	26
Sweden Dynamite	Stefan Benediktsson	cryx	Deneghra1	NA	Warwitch Deneghra - WJ: +28	Deneghra1 (Warwitch Deneghra)	CW02	28
Switzerland Chocolate	Robi DEOLA	protectorate	Thyra1	NA	Thyra, Flame of Sorrow - WJ: +29	Thyra1 (Thyra Flame of Sorrow)	PW09	29
Switzerland Chocolate	Robi DEOLA	protectorate	Severius1	NA	Grand Scrutator Severius - WJ: +28	Severius1 (Grand Scrutator Severius)	PW03	28
Switzerland Chocolate	Marco BERNASCONI	cryx	Mortenebra1	NA	Master Necrotech Mortenebra - WJ: +24	Mortenebra1 (Master Necrotech Mortenebra & Deryliss)	CW07	24
Switzerland Chocolate	Marco BERNASCONI	cryx	Goreshade1	NA	Goreshade the Bastard - WJ: +27	Goreshade1 (Goreshade the Bastard)	CW05	27
Switzerland Chocolate	MICHAEL ILEGEMS	protectorate	Severius2	NA	Hierarch Severius - WJ: +26	Severius2 (Hierarch Severius)	PW14	26
Switzerland Chocolate	MICHAEL ILEGEMS	protectorate	Amon1	NA	High Allegiant Amon Ad-Raza - WJ: +29	Amon1 (High Allegiant Amon Ad-Raza)	PW05	29
Switzerland Chocolate	Giacomo MÄDER	cygnar	Haley2	NA	Major Victoria Haley - WJ: +25	Haley2 (Major Victoria Haley)	YW12	25
Switzerland Chocolate	Giacomo MÄDER	cygnar	Haley1	NA	Captain Victoria Haley - WJ: +28	Haley1 (Captain Victoria Haley)	YW01	28
Switzerland Chocolate	Marc TRAUTMANN	retribution	Kaelyssa1	NA	Kaelyssa, The Night's Whisper - WJ: +29	 Kaelyssa1 (Kaelyssa Night's Whisper)	RW04	29
Switzerland Chocolate	Marc TRAUTMANN	retribution	Helynna1	NA	Magister Helynna - WJ: +30	 Helynna1 (Magister Helynna)	RW09	30
Switzerland Cheese	Lorenz GREDIG	cryx	Skarre2	NA	Skarre, Queen of the Broken Coast - WJ: +26	Skarre2 (Skarre, Queen of the Broken Coast)	CW14	26
Switzerland Cheese	Lorenz GREDIG	cryx	Asphyxious3	NA	Asphyxious the Hellbringer - WJ: +24	Asphyxious3 (Asphyxious the Hellbringer & Vociferon)	CW16	24
Switzerland Cheese	Pascal KRÜTTLI	minions	Carver1	NA	Lord Carver, BMMD, Esq. III - WB: +28	Carver1 (Lord Carver BMMD Esq. III)	IW01	28
Switzerland Cheese	Pascal KRÜTTLI	minions	Sturm & Drang1 	NA	Sturm & Drang - WB: +28	 Sturm & Drang1 	IW06	28
Switzerland Cheese	Moritz SCHWANK	khador	Butcher1	NA	Orsus Zoktavir, The Butcher of Khardov - WJ: +28	 Butcher1 (Orsus Zoktavir The Butcher of Khardov)	KW01	28
Switzerland Cheese	Moritz SCHWANK	khador	Sorscha1	NA	Kommander Sorscha - WJ: +29	 Sorscha1 (Kommander Sorscha)	KW02	29
Switzerland Cheese	Dominic BEYELER	circle	Wurmwood1	NA	Wurmwood, Tree of Fate & Cassius the Oathkeeper - WB: +27	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
Switzerland Cheese	Dominic BEYELER	circle	Kromac2	NA	Kromac, Champion of the Wurm - WB: +28	Kromac2 (Kromac Champion of the Wurm)	OW10	28
Switzerland Cheese	Henrik EKHOLM	skorne	Morghoul1	NA	Master Tormentor Morghoul - WB: +30	 Morghoul1 (Master Tormentor Morghoul)	SW01	30
Switzerland Cheese	Henrik EKHOLM	skorne	Rasheth1	NA	Dominar Rasheth - WB: +28	 Rasheth1 (Dominar Rasheth)	SW07	28
UAE	JOHN HELZER	trollbloods	Madrak2	Arcane Wonder - Steamroller Objective	Madrak Ironhide, World Ender - WB: +28	Madrak2 (Madrak Ironhide World Ender)	TW10	28
UAE	JOHN HELZER	trollbloods	Grissel2	NA	Grissel Bloodsong, Marshal of the Kriels - WB: +27	Grissel2 (Grissel Bloodsong Marshal of the Kriels)	TW12	27
UAE	MIKE DUNLOP	khador	Irusk2	NA	Supreme Kommandant Irusk - WJ: +27	 Irusk2 (Supreme Kommandant Irusk)	KW14	27
UAE	MIKE DUNLOP	khador	Vladimir3	NA	Vladimir Tzepesci, Great Prince of Umbrey - WJ: +27	 Vladimir3 (Vladimir Tzepesci Great Prince of Umbrey)	KW17	27
UAE	OLIVIER GHEYSEN	circle	Baldur1	NA	Baldur the Stonecleaver - WB: +31	Baldur1 (Baldur the Stonecleaver)	OW03	31
UAE	OLIVIER GHEYSEN	circle	Wurmwood1	NA	Wurmwood, Tree of Fate & Cassius the Oathkeeper - WB: +27	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
UAE	NATHAN BOSA	cryx	Venethrax1	NA	Lich Lord Venethrax - WJ: +26	Venethrax1 (Lich Lord Venethrax)	CW08	26
UAE	NATHAN BOSA	cryx	Deneghra1	NA	Warwitch Deneghra - WJ: +28	Deneghra1 (Warwitch Deneghra)	CW02	28
UAE	ENRIQUE SANCHEZ	cygnar	Haley2	NA	Major Victoria Haley - WJ: +25	Haley2 (Major Victoria Haley)	YW12	25
UAE	ENRIQUE SANCHEZ	cygnar	Caine1	NA	Lieutenant Allister Caine - WJ: +30	Caine1 (Lieutenant Allister Caine)	YW03	30
USA Red	Mike Puryear	protectorate	Harbinger1	NA	Harbinger of Menoth	Harbinger1 (The Harbinger of Menoth)	PW06	24
USA Red	Mike Puryear	protectorate	Severius2	NA	Hierarch Severius	Severius2 (Hierarch Severius)	PW14	26
USA Red	Billy Robin	cygnar	Stryker3	NA	Lord General Coleman Stryker	Stryker3 (Lord General Coleman Stryker)	YW17	28
USA Red	Billy Robin	cygnar	Caine2	NA	Captain Allister Caine - WJ: +27	Caine2 (Captain Allister Caine)	YW14	27
USA Red	Jason Flanzer	trollbloods	Madrak2	NA	Madrak Ironhide, World Ender	Madrak2 (Madrak Ironhide World Ender)	TW10	28
USA Red	Jason Flanzer	trollbloods	Gunnbjorn	NA	Captain Gunnbjorn	Gunnbjorn (Captain Gunnbjorn)	TW07	28
USA Red	Bret Fogel	circle	Tanith1	NA	Tanith the Feral Song - WB: +31	Tanith1 (Tanith the Feral Song)	OW15	31
USA Red	Bret Fogel	circle	Wurmwood1	NA	Wurmwood, Tree of Fate	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
USA Red	David Smith	mercenaries	Ossrum1	NA	General Ossrum	Ossrum1 (General Ossrum)	MW10	28
USA Red	David Smith	mercenaries	Damiano1	NA	Captain Damiano	Damiano1 (Captain Damiano)	MW09	28
USA White	Trevor Christensen	skorne	Rasheth1	NA	Dominar Rasheth - WB: +28	 Rasheth1 (Dominar Rasheth)	SW07	28
USA White	Trevor Christensen	skorne	Makeda2	NA	Supreme Archdomina Makeda - WB: +24	 Makeda2 (Supreme Archdomina Makeda)	SW11	24
USA White	Michael Ireland	retribution	Helynna1	NA	Magister Helynna - WJ: +30	 Helynna1 (Magister Helynna)	RW09	30
USA White	Michael Ireland	retribution	Ossyan1	NA	Lord Arcanist Ossyan - WJ: +28	 Ossyan1 (Lord Arcanist Ossyan)	RW06	28
USA White	Brent Simon	legion	Absylonia2	NA	Absylonia, Daughter of Everblight - WB: +28	Absylonia2 (Absylonia Daughter of Everblight)	EW13	28
USA White	Brent Simon	legion	Lylyth3	NA	Lylyth, Reckoning of Everblight - WB: +29	Lylyth3 (Lylyth Reckoning of Everblight)	EW14	29
USA White	Chris Green	circle	Wurmwood1	NA	Wurmwood, Tree of Fate & Cassius the Oathkeeper - WB: +27	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
USA White	Chris Green	circle	Kaya2	NA	Kaya the Moonhunter - WB: +24	Kaya2 (Kaya the Moonhunter & Laris)	OW12	24
USA White	Trevor Attridge	cygnar	Haley2	NA	Major Victoria Haley - WJ: +25	Haley2 (Major Victoria Haley)	YW12	25
USA White	Trevor Attridge	cygnar	Kara Sloan1	NA	Captain Kara Sloan - WJ: +28	Kara Sloan1 (Captain Kara Sloan)	YW08	28
USA Blue	Jay Larsen	trollbloods	Madrak2	NA	Madrak Ironhide, World Ender - WB: +28	Madrak2 (Madrak Ironhide World Ender)	TW10	28
USA Blue	Jay Larsen	trollbloods	Ragnor	NA	Ragnor Skysplitter, the Runemaster - WB: +30	Ragnor (Ragnor Skysplitter The Runemaster)	TW09	30
USA Blue	Dan Yount	circle	Tanith1	NA	Tanith the Feral Song - WB: +31	Tanith1 (Tanith the Feral Song)	OW15	31
USA Blue	Dan Yount	circle	Wurmwood1	NA	Wurmwood, Tree of Fate & Cassius the Oathkeeper - WB: +27	Wurmwood1 (Wurmwood Tree of Fate & Cassius the Oathkeeper)	OW07	27
USA Blue	Brian Marino	legion	Lylyth3	NA	Lylyth, Reckoning of Everblight - WB: +29	Lylyth3 (Lylyth Reckoning of Everblight)	EW14	29
USA Blue	Brian Marino	legion	Vayl2	NA	Vayl, Consul of Everblight - WB: +28	Vayl2 (Vayl Consul of Everblight)	EW12	28
USA Blue	Julien Lesage	trollbloods	Gunnbjorn	NA	Captain Gunnbjorn - WB: +28	Gunnbjorn (Captain Gunnbjorn)	TW07	28
USA Blue	Julien Lesage	trollbloods	Hoarluk3	NA	Hoarluk Doomshaper, Dire Prophet & Scroll Bearers - WB: +26	Hoarluk3 (Hoarluk Doomshaper Dire Prophet & Scroll Bearers)	TW16	26
USA Blue	Jeremy Lee	circle	Kaya2	NA	Kaya the Moonhunter - WB: +24	Kaya2 (Kaya the Moonhunter & Laris)	OW12	24
USA Blue	Jeremy Lee	circle	Kromac2	NA	Kromac, Champion of the Wurm - WB: +28	Kromac2 (Kromac Champion of the Wurm)	OW10	28
Wales Crafanc	Rhys Phillips	retribution	Rahn1	NA	Adeptis Rahn - WJ: +26	 Rahn1 (Adeptis Rahn)	RW01	26
Wales Crafanc	Rhys Phillips	retribution	Helynna1	NA	Magister Helynna - WJ: +30	 Helynna1 (Magister Helynna)	RW09	30
Wales Crafanc	Alun Evans	protectorate	Thyra1	NA	Thyra, Flame of Sorrow - WJ: +29	Thyra1 (Thyra Flame of Sorrow)	PW09	29
Wales Crafanc	Alun Evans	protectorate	Kreoss1	NA	High Exemplar Kreoss - WJ: +29	Kreoss1 (High Exemplar Kreoss)	PW01	29
Wales Crafanc	Ben Jenkins	cryx	Goreshade1	NA	Goreshade the Bastard - WJ: +27	Goreshade1 (Goreshade the Bastard)	CW05	27
Wales Crafanc	Ben Jenkins	cryx	Deneghra1	NA	Warwitch Deneghra - WJ: +28	Deneghra1 (Warwitch Deneghra)	CW02	28
Wales Crafanc	Adam Jones	trollbloods	Madrak2	NA	Madrak Ironhide, World Ender - WB: +28	Madrak2 (Madrak Ironhide World Ender)	TW10	28
Wales Crafanc	Adam Jones	trollbloods	Borka2	NA	Borka, Vengeance of the Rimeshaws - WB: +29	Borka2 (Borka Vengeance of the Rimeshaws)	TW15	29
Wales Crafanc	Scott Hooper-Jones	mercenaries	Bartolo1 	NA	Captain Bartolo Montador - WJ: +26	Bartolo1  (Captain Bartolo Montador)	MW06	26
Wales Crafanc	Scott Hooper-Jones	mercenaries	Magnus2	NA	Magnus the Warlord - WJ: +28	Magnus2 (Magnus the Warlord)	MW13	28
Wales Dant	Terry Slade	legion	Vayl2	NA	Vayl, Consul of Everblight - WB: +28	Vayl2 (Vayl Consul of Everblight)	EW12	28
Wales Dant	Terry Slade	legion	Absylonia2	NA	 Absylonia, Daughter of Everblight - WB: +28	Absylonia2 (Absylonia Daughter of Everblight)	EW13	28
Wales Dant	Byron Liles	trollbloods	Madrak2	NA	 Madrak Ironhide, World Ender - WB: +28	Madrak2 (Madrak Ironhide World Ender)	TW10	28
Wales Dant	Byron Liles	trollbloods	Gunnbjorn	NA	 Captain Gunnbjorn - WB: +28	Gunnbjorn (Captain Gunnbjorn)	TW07	28
Wales Dant	Paul Letherby	skorne	Mordikaar1	NA	 Void Seer Mordikaar - WB: +29	 Mordikaar1 (Void Seer Mordikaar)	SW06	29
Wales Dant	Paul Letherby	skorne	Rasheth1	NA	 Dominar Rasheth - WB: +28	 Rasheth1 (Dominar Rasheth)	SW07	28
Wales Dant	Sam Derbyshire	minions	Barnabas 1	NA	 Bloody Barnabas - WB: +28	Barnabas 1 (Bloody Barnabas)	IW02	28
Wales Dant	Sam Derbyshire	minions	Maelok1	NA	 Maelok the Dreadbound - WB: +28	 Maelok1 (Maelok the Dreadbound)	IW05	28
Wales Dant	Pete Hillard	khador	Butcher3	NA	 Kommander Zoktavir, the Butcher Unleashed - WJ: +22	 Butcher3 (Kommander Zoktavir The Butcher Unleashed)	KW16	22
Wales Dant	Pete Hillard	khador	Strakhov1	NA	Kommander Oleg Strakhov - WJ: +28	 Strakhov1 (Kommander Oleg Strakhov)	KW08	28
